signature_id	signature_name	gene_symbol	gene_symbol_clean	source_reference
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MEST	MEST	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MFAP5	MFAP5	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MGP	MGP	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MMP1	MMP1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MMP14	MMP14	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MMP2	MMP2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MMP3	MMP3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MSX1	MSX1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MXRA5	MXRA5	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MYL9	MYL9	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MYLK	MYLK	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	NID2	NID2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	NNMT	NNMT	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	NOTCH2	NOTCH2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	NT5E	NT5E	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	NTM	NTM	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	OXTR	OXTR	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	P3H1	P3H1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PCOLCE	PCOLCE	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PCOLCE2	PCOLCE2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PDGFRB	PDGFRB	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PDLIM4	PDLIM4	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PFN2	PFN2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PLAUR	PLAUR	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PLOD1	PLOD1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PLOD2	PLOD2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PLOD3	PLOD3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PMEPA1	PMEPA1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PMP22	PMP22	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	POSTN	POSTN	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PPIB	PPIB	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PRRX1	PRRX1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PRSS2	PRSS2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PTHLH	PTHLH	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PTX3	PTX3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	PVR	PVR	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	QSOX1	QSOX1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	RGS4	RGS4	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	RHOB	RHOB	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SAT1	SAT1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SCG2	SCG2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SDC1	SDC1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SDC4	SDC4	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SERPINE1	SERPINE1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SERPINE2	SERPINE2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SERPINH1	SERPINH1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SFRP1	SFRP1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SFRP4	SFRP4	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SGCB	SGCB	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SGCD	SGCD	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SGCG	SGCG	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SLC6A8	SLC6A8	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SLIT2	SLIT2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SLIT3	SLIT3	MSigDB Hallmark EMT
